nom de la revue,issn,rang,domaine
Abacus,0001-3072,3,CPT
Academy of Management Journal,0001-4273,1,MgtGen
Academy of Management Review,0363-7425,1*,MgtGen
Accounting and Business Research,0001-4788,3,CPT
Accounting and Finance,0810-5391,4,CPT
Accounting Auditing and Accountability Journal,0951-3574,3,CPT
Accounting Historians Journal,0148-4184,3,CPT/HPM
Accounting History,1032-3732,4,CPT/HPM
"Accounting History Review (ex : Accounting, 
Business and Financial History)",2155-2851,3,HPM & CPT
Accounting Horizons,0888-7993,3,CPT
Accounting Review,0001-4826,1*,CPT
"Accounting, Organization and Society",0361-3682,1,CPT
"ACM Transactions on Human Computer 
Interaction",1073-0516,4,SI
Administration and Society,0095-3997,2,Publique
Administrative Science Quarterly,0001-8392,1*,THO
Advances in International Accounting,0897-3660,3,CPT
Advances in Strategic Management,0742-3322,2,Strat
American Journal of Medical Quality,1062-8606,3,Santé
Annals of Finance,1614-2446,4,Fin
Applied Financial Economics,0960-3107,4,Fin
Applied Health Economics and Policy,1175-5652,4,Santé
Asia Pacific Business Review,1360-2381,3,Strat
Asia Pacific Journal of Human Resources,1038-4111,4,GRH
Asia Pacific Journal of Management,0217-4561,4,MgtGen
"ASTIN Bulletin: Journal of the International 
Actuarial Association",0515-0361,3,Fin
"Auditing, A Journal of Practice and Theory",0278-0380,2,CPT
"Bankers, Markets & Invetors (ex Banque et 
Marchés)",1167-4946,3,Fin
Behavioral Research in Accounting,1050-4753,3,CPT
BMC Health Services Research,1472-6963,3,Santé
British Accounting Review,0890-8389,3,CPT
British Journal of Industrial Relations,0007-1080,2,GRH
British Journal of Management,1045-3172,2,MgtGen
Bulletin Français d'Actuariat,1779-7160,4,Fin
Bulletin of the World Health Organization,0042-9686,3,Santé
"Business and Information Systems Engineering 
(wirtschaftsinformatik)",1867-0202,4,SI
Business and Society,0007-6503,4,Strat
Business Ethics Quarterly,1052-150X,4,GRH
Business Ethics: a European review,1467-8594,4,GRH
Business History,0007-6791,2,HPM
Business History Review,0007-6805,3,HPM
Business Process Management Journal,1463-7154,3,SI
Business Strategy and the Environment,0964-4733,4,Strat
"Canadian Journal of Administrative Sciences - 
Revue Canadienne des Sciences Administratives",0825-0383,3,MgtGen
Communication of the AIS,1529-3181,4,SI
Communications et Stratégies,1157-8637,4,Strat
Competition and Change,1024-5294,3,MgtGen
"Comptabilité, Contrôle, Audit",1262-2788,2,CPT
Computers Industrial Engineering,0360-8352,3,Log
"Consumption, Markets & Culture",1025-3866,4,Mkg
Contemporary Accounting Research,8239150,1,CPT
