TITLE,DOMAINE / FIELD,pISSN,eISSN,FNEGE_2019,FNEGE_2022,FNEGE_2025
@GRH,HRM,2034-9130,2295-9149,3,3,2
ABACUS,ACC,0001-3072,1467-6281,2,2,2
ACADEMY OF MANAGEMENT ANNALS,GEN MAN,1941-6067,1941-6520,1,1,1
ACADEMY OF MANAGEMENT DISCOVERIES,GEN MAN,2168-1007,2168-1007,,4,3
ACADEMY OF MANAGEMENT JOURNAL,GEN MAN,0001-4273,1948-0989,1,1*,1*
ACADEMY OF MANAGEMENT LEARNING AND EDUCATION,EDUC,1537-260X,1944-9585,2,1,1
ACADEMY OF MANAGEMENT PERSPECTIVES,GEN MAN,1558-9080,1558-9080,2,2,2
ACADEMY OF MANAGEMENT REVIEW,GEN MAN,0363-7425,1930-3807,1*,1*,1*
ACADEMY OF MARKETING SCIENCE REVIEW,MKG,1869-814X,1869-8182,,,4
ACCOUNTING AND BUSINESS RESEARCH,ACC,0001-4788,2159-4260,3,3,2
ACCOUNTING AND FINANCE,ACC,0810-5391,1467-629X,3,3,3
ACCOUNTING FORUM,ACC,0155-9982,1467-6303,,4,3
ACCOUNTING HISTORIANS JOURNAL,BUS HIST,0148-4184,2327-4468,4,4,4
ACCOUNTING HISTORY,BUS HIST,1032-3732,1749-3374,3,3,3
"ACCOUNTING HISTORY REVIEW (FORMERLY: ACCOUNTING, BUSINESS AND FINANCIAL HISTORY)",BUS HIST,2155-2851,2155-286X,3,3,3
ACCOUNTING HORIZONS,ACC,0888-7993,1558-7975,2,2,2
ACCOUNTING IN EUROPE,ACC,1744-9480,1744-9499,4,3,3
ACCOUNTING RESEARCH JOURNAL,ACC,1030-9616,1839-5465,,,4
ACCOUNTING REVIEW (THE),ACC,0001-4826,1558-7967,1*,1*,1*
"ACCOUNTING, AUDITING AND ACCOUNTABILITY JOURNAL",ACC,0951-3574,1758-4205,2,2,2
"ACCOUNTING, ECONOMICS, AND LAW: A CONVIVIUM",ACC,2152-2820,2194-6051,,,4
"ACCOUNTING, ORGANIZATION AND SOCIETY",ACC,0361-3682,1873-6289,1,1*,1*
ACCRA,ACC,en cours,2617-2399,EM,4,4
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,MIS,1073-0516,1557-7325,3,3,2
ACTION LEARNING: RESEARCH AND PRACTICE,EDUC,1476-7333,1476-7341,,,4
ACTION RESEARCH,GEN MAN,1476-7503,1741-2617,,4,4
ACTIVE LEARNING IN HIGHER EDUCATION,EDUC,1469-7874,1741-2625,,,4
ADMINISTRATION AND SOCIETY,PUB MAN,0095-3997,1552-3039,3,3,3
ADMINISTRATIVE SCIENCE QUARTERLY,ORG STUD,0001-8392,1930-3815,1*,1*,1*
ADVANCES IN ACCOUNTING (INCORPORATING: ADVANCES IN INTERNATIONAL ACCOUNTING),ACC,0882-6110,1046-5715,3,3,3
ADVANCES IN DEVELOPING HUMAN RESOURCES,EDUC,1523-4223,1552-3055,,,4
ADVANCES IN STRATEGIC MANAGEMENT,STRAT,0742-3322,0742-3322,3,3,3
AFRICA JOURNAL OF MANAGEMENT,GEN MAN,2332-2373,2332-2373,,4,4
AFRICAN JOURNAL OF ACCOUNTING AUDITING AND FINANCE,ACC,2046-8083,2046-8091,,,4
AIS TRANSACTIONS ON HUMAN-COMPUTER INTERACTION,MIS,1944-3900,1944-3900,,,3
AMERICAN ECONOMIC REVIEW,FIN,0002-8282,1944-7981,,1*,1*
AMERICAN JOURNAL OF BUSINESS,GEN MAN,1935-5181,1935-5181,,,4
AMERICAN JOURNAL OF EVALUATION,EDUC,1098-2140,1098-2140,,,4
AMERICAN JOURNAL OF MANAGED CARE,HLTH,1088-0224,1088-0224,4,4,4
AMERICAN JOURNAL OF MEDICAL QUALITY,HLTH,1062-8606,1062-8606,4,4,4
AMERICAN JOURNAL OF SOCIOLOGY,BUS SOC,0002-9602,1537-5390,,1,1
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,PUB MAN,0275-0740,1552-3357,3,3,3
AMERICAN SOCIOLOGICAL REVIEW,BUS SOC,0003-1224,1939-8271,,1,1
ANNALS OF ACTUARIAL SCIENCE,FIN,1748-4995,1748-5002,,,4
ANNALS OF FINANCE,FIN,1614-2446,1614-2454,4,4,4
