nom,issn,domaine,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022
'@GRH,2034-9130,HRM,,,,,3
@grh,2034-9130,HRM,,4,3,3,
ABACUS,0001-3072,ACC,,,,,2
ACADEMY OF MANAGEMENT ANNALS,1941-6520,GEN MAN,,,,,1
ACADEMY OF MANAGEMENT DISCOVERIES,2168-1007,GEN MAN,,,,,4
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,GEN MAN,,,,,1*
ACADEMY OF MANAGEMENT LEARNING AND EDUCATION,1537-260X,GEN MAN,,,,,1
ACADEMY OF MANAGEMENT PERSPECTIVES,1558-9080,GEN MAN,,,,,2
ACADEMY OF MANAGEMENT REVIEW,0363-7425,GEN MAN,,,,,1*
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,ACC,,,,,3
ACCOUNTING AND FINANCE,0810-5391,ACC,,,,,3
ACCOUNTING FORUM,0155-9982,ACC,,,,,4
ACCOUNTING HISTORIANS JOURNAL,0148-4184,BUS HIST,,,,,4
ACCOUNTING HISTORY,1032-3732,BUS HIST,,,,,3
"ACCOUNTING HISTORY REVIEW (Formerly: Accounting, Business and Financial History)",2155-2851,BUS HIST,,,,,3
ACCOUNTING HORIZONS,0888-7993,ACC,,,,,2
ACCOUNTING IN EUROPE,1744-9480,ACC,,,,,3
ACCOUNTING REVIEW (THE),0001-4826,ACC,,,,,1*
"ACCOUNTING, AUDITING AND ACCOUNTABILITY JOURNAL",0951-3574,ACC,,,,,2
"ACCOUNTING, ORGANIZATION AND SOCIETY",0361-3682,ACC,,,,,1*
ACCRA (AUDIT COMPTABILITE CONTRÔLE : RECHERCHES APPLIQUÉES),en cours,ACC,,,,,4
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,MIS,,,,,3
"ACM Transactions on Computer-
Human Interaction",1073-0516,MIS,,,3,3,
"ACM Transactions on Human 
Computer Interaction",1073-0516,MIS,,4,,,
"ACM Transactions on Human Computer 
Interaction",1073-0516,SI,4,,,,
ACTION RESEARCH,1476-7503,SOC,,,,,4
ADMINISTRATION AND SOCIETY,0095-3997,PUB SEC,,,,,3
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,ORG STUD,,,,,1*
ADVANCES IN ACCOUNTING (Incorporating: Advances in International Accounting),0882-6110,ACC,,,,,3
ADVANCES IN STRATEGIC MANAGEMENT,0742-3322,STRAT,,,,,3
AFRICA JOURNAL OF MANAGEMENT,2332-2373,GEN MAN,,,,,4
AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,1945-7782,ECON,,,,,1
AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,1945-7731,ECON,,,,,1
AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,1945-7707,ECON,,,,,1
AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,1945-7669,ECON,,,,,2
AMERICAN ECONOMIC REVIEW,0002-8282,ECON,,,,,1*
AMERICAN JOURNAL OF MANAGED CARE,1088-0224,HLTH,,,,,4
AMERICAN JOURNAL OF MEDICAL QUALITY,1062-8606,HLTH,,,,,4
AMERICAN JOURNAL OF SOCIOLOGY,0002-9602,SOC,,,,,1
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,0275-0740,PUB SEC,,,,,3
AMERICAN SOCIOLOGICAL REVIEW,0003-1224,SOC,,,,,1
ANNALS OF FINANCE,1614-2446,FIN,,,,,4
ANNALS OF OPERATIONS RESEARCH,0254-5330,LOG,,,,,2
ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788,PUB SEC,,,,,4
ANNALS OF REGIONAL SCIENCE,0570-1864,REG&ENV,,,,,4
ANNALS OF TOURISM RESEARCH,0160-7383,SECTOR,,,,,2
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,2327-0608,ORG STUD,,,,,4
ANNUAL REVIEW OF SOCIOLOGY,0360-0572,SOC,,,,,2
APPLIED ECONOMICS,0003-6846,ECON,,,,,3
APPLIED FINANCIAL ECONOMICS,0960-3107,FIN,,,,,4
APPLIED MATHEMATICAL FINANCE,1350-486X,FIN,,,,,4
APPLIED PSYCHOLOGY: AN INTERNATIONAL REVIEW,0269-994X,PSY,,,,,2
ASIA PACIFIC BUSINESS REVIEW,1360-2381,STRAT,,,,,4
ASIA PACIFIC JOURNAL OF HUMAN RESOURCES,1038-4111,HRM,,,,,4
ASIA PACIFIC JOURNAL OF MANAGEMENT,0217-4561,GEN MAN,,,,,3
ASIA-PACIFIC JOURNAL OF ACCOUNTING AND ECONOMICS,1608-1625,ACC,,,,,4
ASIAN BUSINESS AND MANAGEMENT,1472-4782,GEN MAN,,,,,4
ASTIN BULLETIN,0515-0361,FIN,,,,,3
ASTIN Bulletin,0515-0361,FIN,,,,3,
"ASTIN Bulletin: Journal of the 
International Actuarial Association",0515-0361,FIN,,3,3,,
"ASTIN Bulletin: Journal of the International 
Actuarial Association",0515-0361,Fin,3,,,,
"AUDITING, A JOURNAL OF PRACTICE AND THEORY",0278-0380,ACC,,,,,2
AUSTRALIAN ACCOUNTING REVIEW,1035-6908,ACC,,,,,4
AUSTRALIAN JOURNAL OF MANAGEMENT,0312-8962,GEN MAN,,,,,4
Abacus,0001-3072,ACC,,2,,2,
Abacus,0001-3072,CPT,3,,,,
"Abacus: A Journal of Accounting, 
Finance and Business Studies",0001-3072,ACC,,,2,,
"Academy of Management 
Perspectives",1558-9080,GEN MAN,,2,1,2,
Academy of Management Annals,1941-6520,GEN MAN,,3,1,1,
Academy of Management Journal,0001-4273,GEN MAN,,1,1,1,
Academy of Management Journal,0001-4273,MgtGen,1,,,,
"Academy of Management Learning 
and Education",1537-260X,GEN MAN,,,2,2,
Academy of Management Review,0363-7425,GEN MAN,,1*,1*,1*,
Academy of Management Review,0363-7425,MgtGen,1*,,,,
"Accounting Auditing and 
Accountability Journal",0951-3574,ACC,,3,,,
Accounting Auditing and Accountability Journal,0951-3574,CPT,3,,,,
Accounting Historians Journal,0148-4184,"ACC / BUS 
HIST",,3,4,,
Accounting Historians Journal,0148-4184,"ACC/BUS 
HIST",,,,4,
Accounting Historians Journal,0148-4184,CPT/HPM,3,,,,
Accounting History,1032-3732,"ACC / BUS 
HIST",,4,3,,
Accounting History,1032-3732,"ACC/BUS 
HIST",,,,3,
Accounting History,1032-3732,CPT/HPM,4,,,,
Accounting History Review,2155-2851,"BUS HIST/
ACC",,,,3,
"Accounting History Review 
(ex : Accounting, Business and 
Financial History)",2155-2851,"BUS HIST /
ACC",,3,,,
"Accounting History Review 
(ex Accounting, Business and 
Financial History)",2155-2851,"ACC / BUS 
HIST",,,3,,
"Accounting History Review (ex : Accounting, 
Business and Financial History)",2155-2851,HPM & CPT,3,,,,
Accounting Horizons,0888-7993,ACC,,2,2,2,
Accounting Horizons,0888-7993,CPT,3,,,,
Accounting Review,0001-4826,ACC,,1*,,,
Accounting Review,0001-4826,CPT,1*,,,,
Accounting and Business Research,0001-4788,ACC,,3,3,3,
Accounting and Business Research,0001-4788,CPT,3,,,,
Accounting and Finance,0810-5391,ACC,,3,3,3,
Accounting and Finance,0810-5391,CPT,4,,,,
Accounting in Europe,1744-9480,ACC,,4,4,4,
"Accounting, Auditing & Accountability 
Journal",0951-3574,ACC,,,3,2,
