journal,issn,domaine_2011,rang_2011,domaine_2013,rang_2013,domaine_2016,rang_2016,domaine_2019,rang_2019,domaine_2022,rang_2022
abacus,0001-3072,cpt,3,acc,2,,,acc,2,acc,2
"abacus a journal of accounting 
finance and business studies",0001-3072,,,,,acc,2,,,,
"academy of management 
perspectives",1558-9080,,,gen/man,2,gen/man,1,gen/man,2,,
academy of management annals,1941-6520,,,gen/man,3,gen/man,1,gen/man,1,gen/man,1
academy of management discoveries,2168-1007,,,,,,,,,gen/man,4
academy of management journal,0001-4273,mgtgen,1,gen/man,1,gen/man,1,gen/man,1,gen/man,1*
"academy of management learning 
and education",1537-260X,,,,,gen/man,2,gen/man,2,,
academy of management learning and education,1537-260X,,,,,,,,,gen/man,1
academy of management perspectives,1558-9080,,,,,,,,,gen/man,2
academy of management review,0363-7425,mgtgen,1*,gen/man,1*,gen/man,1*,gen/man,1*,gen/man,1*
accounting and business research,0001-4788,cpt,3,acc,3,acc,3,acc,3,acc,3
accounting and finance,0810-5391,cpt,4,acc,3,acc,3,acc,3,acc,3
"accounting auditing  accountability 
journal",0951-3574,,,,,acc,3,acc,2,,
"accounting auditing and 
accountability journal",0951-3574,,,acc,3,,,,,,
accounting auditing and accountability journal,0951-3574,cpt,3,,,,,,,acc,2
accounting forum,0155-9982,,,,,,,,,acc,4
accounting historians journal,0148-4184,cpt/hpm,3,acc/bus/hist,3,acc/bus/hist,4,acc/bus/hist,4,bus/hist,4
accounting history,1032-3732,cpt/hpm,4,acc/bus/hist,4,acc/bus/hist,3,acc/bus/hist,3,bus/hist,3
accounting history review,2155-2851,,,,,,,bus/hist/acc,3,,
"accounting history review 
ex  accounting business and 
financial history",2155-2851,,,bus/hist/acc,3,,,,,,
"accounting history review 
ex accounting business and 
financial history",2155-2851,,,,,acc/bus/hist,3,,,,
"accounting history review ex  accounting 
business and financial history",2155-2851,hpm/cpt,3,,,,,,,,
accounting history review formerly accounting business and financial history,2155-2851,,,,,,,,,bus/hist,3
accounting horizons,0888-7993,cpt,3,acc,2,acc,2,acc,2,acc,2
accounting in europe,1744-9480,,,acc,4,acc,4,acc,4,acc,3
