issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
2034-9130,@grh; '@GRH,@GRH,,4,3,3,3,2
1073-0516,"ACM Transactions on Human Computer 
Interaction; ACM Transactions on Human 
Computer Interaction; ACM Transactions on Computer-
Human Interaction; ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION",ACM Transactions on Computer-Human Interaction,4,4,3,3,3,2
0515-0361,"ASTIN Bulletin: Journal of the International 
Actuarial Association; ASTIN Bulletin: Journal of the 
International Actuarial Association; ASTIN Bulletin; ASTIN BULLETIN",ASTIN Bulletin,3,3,3,3,3,3
0001-3072,"Abacus; Abacus: A Journal of Accounting, 
Finance and Business Studies; ABACUS",Abacus,3,2,2,2,2,2
1941-6520,Academy of Management Annals; ACADEMY OF MANAGEMENT ANNALS,Academy of Management Annals,,3,1,1,1,
0001-4273,Academy of Management Journal; ACADEMY OF MANAGEMENT JOURNAL,Academy of Management Journal,1,1,1,1,1*,1*
1537-260X,"The Academy of Management Learning and 
Education; The Academy of Management 
Learning and Education; Academy of Management Learning 
and Education; ACADEMY OF MANAGEMENT LEARNING AND EDUCATION",Academy of Management Learning and Education,3,2,2,2,1,1
1558-9080,"Academy of Management 
Perspectives; ACADEMY OF MANAGEMENT PERSPECTIVES",Academy of Management Perspectives,,2,1,2,2,2
0363-7425,Academy of Management Review; ACADEMY OF MANAGEMENT REVIEW,Academy of Management Review,1*,1*,1*,1*,1*,1*
0148-4184,Accounting Historians Journal; ACCOUNTING HISTORIANS JOURNAL,Accounting Historians Journal,3,3,4,4,4,4
1032-3732,Accounting History; ACCOUNTING HISTORY,Accounting History,4,4,3,3,3,3
2155-2851,"Accounting History Review (ex : Accounting, 
Business and Financial History); Accounting History Review 
(ex : Accounting, Business and 
Financial History); Accounting History Review 
(ex Accounting, Business and 
Financial History); Accounting History Review; ACCOUNTING HISTORY REVIEW (Formerly: Accounting, Business and Financial History)",Accounting History Review,3,3,3,3,3,3
0888-7993,Accounting Horizons; ACCOUNTING HORIZONS,Accounting Horizons,3,2,2,2,2,2
0001-4788,Accounting and Business Research; ACCOUNTING AND BUSINESS RESEARCH,Accounting and Business Research,3,3,3,3,3,2
0810-5391,Accounting and Finance; ACCOUNTING AND FINANCE,Accounting and Finance,4,3,3,3,3,3
1744-9480,Accounting in Europe; ACCOUNTING IN EUROPE,Accounting in Europe,,4,4,4,3,3
